corpus_size;modelo;tamanho_contexto;categoria;qtde_total;qtde_analisada;qtde_fora_dicionario;qtde_fora_ranking;mse;rmsd
10200000;cbow;2;capital-common-countries;506;505;0;1;0.005469;0.073956
10200000;cbow;2;capital-world;4524;2152;2049;323;0.011489;0.107185
10200000;cbow;2;currency;866;168;528;170;0.015027;0.122586
10200000;cbow;2;city-in-state;2467;1666;403;398;0.013531;0.116321
10200000;cbow;2;family;506;360;126;20;0.003228;0.056817
10200000;cbow;2;gram1-adjective-to-adverb;992;648;62;282;0.013229;0.115018
10200000;cbow;2;gram2-opposite;812;393;212;207;0.012431;0.111495
10200000;cbow;2;gram3-comparative;1332;1324;0;8;0.002087;0.045683
10200000;cbow;2;gram4-superlative;1122;670;420;32;0.006563;0.081014
10200000;cbow;2;gram5-present-participle;1056;899;0;157;0.008757;0.093578
10200000;cbow;2;gram6-nationality-adjective;1599;1481;78;40;0.004118;0.064170
10200000;cbow;2;gram7-past-tense;1560;1329;78;153;0.007655;0.087493
10200000;cbow;2;gram8-plural;1332;1075;142;115;0.005664;0.075259
10200000;cbow;2;gram9-plural-verbs;870;755;0;115;0.007310;0.085498
10200000;cbow;2;TOTAL;19544;13425;4098;2021;0.008200;0.090554
10200000;skip-gram;2;capital-common-countries;506;491;0;15;0.002971;0.054504
10200000;skip-gram;2;capital-world;4524;2105;2049;370;0.006777;0.082325
10200000;skip-gram;2;currency;866;182;528;156;0.009140;0.095606
10200000;skip-gram;2;city-in-state;2467;1654;403;410;0.008235;0.090747
10200000;skip-gram;2;family;506;355;126;25;0.001881;0.043370
10200000;skip-gram;2;gram1-adjective-to-adverb;992;536;62;394;0.007882;0.088780
10200000;skip-gram;2;gram2-opposite;812;419;212;181;0.007795;0.088289
10200000;skip-gram;2;gram3-comparative;1332;1302;0;30;0.002238;0.047306
10200000;skip-gram;2;gram4-superlative;1122;668;420;34;0.004395;0.066292
10200000;skip-gram;2;gram5-present-participle;1056;839;0;217;0.005409;0.073546
10200000;skip-gram;2;gram6-nationality-adjective;1599;1491;78;30;0.002531;0.050312
10200000;skip-gram;2;gram7-past-tense;1560;1232;78;250;0.005081;0.071284
10200000;skip-gram;2;gram8-plural;1332;1112;142;78;0.003765;0.061362
10200000;skip-gram;2;gram9-plural-verbs;870;699;0;171;0.004821;0.069431
10200000;skip-gram;2;TOTAL;19544;13085;4098;2361;0.005132;0.071635
10200000;cbow;4;capital-common-countries;506;505;0;1;0.002815;0.053055
10200000;cbow;4;capital-world;4524;2404;2049;71;0.007875;0.088744
10200000;cbow;4;currency;866;221;528;117;0.017121;0.130848
10200000;cbow;4;city-in-state;2467;1867;403;197;0.010264;0.101311
10200000;cbow;4;family;506;361;126;19;0.002677;0.051739
10200000;cbow;4;gram1-adjective-to-adverb;992;662;62;268;0.013132;0.114594
10200000;cbow;4;gram2-opposite;812;397;212;203;0.014786;0.121597
10200000;cbow;4;gram3-comparative;1332;1322;0;10;0.002659;0.051568
10200000;cbow;4;gram4-superlative;1122;681;420;21;0.006776;0.082318
10200000;cbow;4;gram5-present-participle;1056;968;0;88;0.007309;0.085492
10200000;cbow;4;gram6-nationality-adjective;1599;1500;78;21;0.003945;0.062808
